Data; Horas Trabalhadas; Tipo Tarefa; Descrição da Tarefa Realizada

15/06/2017; 1 horas; estudar; Modulo Conta
16/04/2017; 2 horas; estudar; Scripts de conta
19/06/2017; 3 horas; revisar código do módulo; Fiz contadores no Lista
20/06/2017; 1 horas; redigir script; script do conta para lista 
20/06/2017; 2 horas; codificar módulo; Programar o partida
21/06/2017; 3 hora; diagnosticar e corrigir os problemas encontrados; varios erros surgiram
22/06/2017; 2 horas; revisar código do módulo; voltei a olhar funções de alguns modulos do t2
26/06/2017; 4 hora; codificar módulo; ainda fazendo o modulo partida, erros desconhecidos
27/06/2017; 3 horas; codificar módulo; consegui algum progresso no partida
27/06/2017; 1 horas; revisar código do módulo; Vendo erros do partida
27/06/2017; 2 horas; codificar módulo; ajustando últimas coisas do módulo partida
28/06/2017; 4 horas; codificar módulo; ajustando últimas coisas do módulo partida
