Data; Horas Trabalhadas; Tipo Tarefa; Descrição da Tarefa Realizada

12/06/2017; 3 horas; codificar módulo; Comecei o desenvolvimento do módulo partida
15/04/2017; 2 horas; estudar; Tentando compreender erros de compilação

15/06/2017; 2 horas; estudar; Estudando o modulo conta
16/06/2017; 3 horas; estudar; Mexendo no exemplo instrum do arcabouço

20/06/2017; 2 horas; revisar código do módulo; Comecei a implementar os contadores no Lista.c
20/06/2017; 1 hora; redigir script; Junto fiz alguns testes simples para contar.

23/06/2017; 2 horas; codificar módulo; Terminei todas as arestas das funções principais de Lista.c
24/06/2017; 2 horas; redigir script; Fazendo script de contar para o Lista.c

26/06/2017; 1 hora; estudar; tentando resolver problema com batches e geração de arquivos para compilar
26/06/2017; 3 horas; redigir script de teste; Terminei os contadores para lista.c, passando por tudo!

27/06/2017; 2 horas; realizar os testes; os testes contaram tudo, mas encontraram alguns problemas novos
27/06/2017; 2 horas; revisar código do módulo; Mudando algumas coisas do modulo lista
27/06/2017; 2 horas; revisar código do módulo; Ajudando a revisar o partida e modulos do qual dependia

